name	value
Strenghthen Public Schools	2
Increase High Speed Internet Connectivity	1
Protect Water Quality and Avoid Runoff	1
Promote Agritourism	3
Revitalize Historic Downtowns	1
Boost Entrepreneurialism	1
Encourage Productive Conservation Programs	1
Develop National Recreation/Cultural Destinations	1
Control Invasive Species	0
Promote the Flint Hills Brand	0
Use Incentives to Finance (Re)Development	1
Conduct Comprehensive Planning	0
Connect Arts Organizations and Resources	0
Provide Efficient Services in Rural Areas	1
Improve Public Health and Wellbeing	0
Align Housing Stock with Housing Need	2
"Use Zoning, Ordinances, and Plan Review Process to Direct Development"	1
Develop Tribal Cultural Assets	0
Improve Opportunities for Aging in Place	2
Promote Appropriate Burning of the Prairie	1
Support Travel KS as the Online Cultural Hub for the Flint Hills	0
Improve Regional Transit	0
Add Scenic Bikeways to the By-ways Program	1
Improve Transportation Infrastructure	0
Create K-12 Curriculum about the Flint Hills Ecosystem	0
Expand the Succession Training Program	1
Explore Innovative Farm and Ranch Practices	1
Map Regional Assets	1
Improve Energy & Water Efficiency of Buildings	1
Market Flint Hills Farm & Ranch Products	0
Develop a Volunteer Hub	0
Develop a Leadership/Mentorship Program	1
Improve Rural Networking Capacity	1
Enable Youth to Start Farming and Ranching	0
Increase Healthy Food Access in Rural Areas	1
Leverage the Animal Health Corridor	0
Encourage Complete Streets and Mixed Use Development	1
Develop a Rideshare Program	1
Conduct a Trucking and Rail Logistics Study	0
Create a Faith-Based Hub	1
Create Flint Hills Energy Generation Policy	0
Use Planning to avoid Encroachment on Fort Riley	0
Celebrate Cultural Impact of Fort Riley	0
