name	value
Strenghthen Public Schools	9
Increase High Speed Internet Connectivity	7
Protect Water Quality and Avoid Runoff	7
Promote Agritourism	5
Revitalize Historic Downtowns	6
Boost Entrepreneurialism	4
Encourage Productive Conservation Programs	4
Develop National Recreation/Cultural Destinations	4
Control Invasive Species	3
Promote the Flint Hills Brand	3
Use Incentives to Finance (Re)Development	3
Conduct Comprehensive Planning	3
Connect Arts Organizations and Resources	4
Provide Efficient Services in Rural Areas	1
Improve Public Health and Wellbeing	3
Align Housing Stock with Housing Need	3
"Use Zoning, Ordinances, and Plan Review Process to Direct Development"	2
Develop Tribal Cultural Assets	2
Improve Opportunities for Aging in Place	2
Promote Appropriate Burning of the Prairie	3
Support Travel KS as the Online Cultural Hub for the Flint Hills	2
Improve Regional Transit	3
Add Scenic Bikeways to the By-ways Program	2
Improve Transportation Infrastructure	5
Create K-12 Curriculum about the Flint Hills Ecosystem	2
Expand the Succession Training Program	2
Explore Innovative Farm and Ranch Practices	3
Map Regional Assets	1
Improve Energy & Water Efficiency of Buildings	1
Market Flint Hills Farm & Ranch Products	1
Develop a Volunteer Hub	1
Develop a Leadership/Mentorship Program	1
Improve Rural Networking Capacity	1
Enable Youth to Start Farming and Ranching	2
Increase Healthy Food Access in Rural Areas	0
Leverage the Animal Health Corridor	2
Encourage Complete Streets and Mixed Use Development	0
Develop a Rideshare Program	0
Conduct a Trucking and Rail Logistics Study	0
Create a Faith-Based Hub	0
Create Flint Hills Energy Generation Policy	0
Use Planning to avoid Encroachment on Fort Riley	0
Celebrate Cultural Impact of Fort Riley	1
