name	value
Strenghthen Public Schools	5
Increase High Speed Internet Connectivity	4
Protect Water Quality and Avoid Runoff	6
Promote Agritourism	4
Revitalize Historic Downtowns	5
Boost Entrepreneurialism	6
Encourage Productive Conservation Programs	4
Develop National Recreation/Cultural Destinations	3
Control Invasive Species	4
Promote the Flint Hills Brand	5
Use Incentives to Finance (Re)Development	2
Conduct Comprehensive Planning	0
Connect Arts Organizations and Resources	3
Provide Efficient Services in Rural Areas	4
Improve Public Health and Wellbeing	3
Align Housing Stock with Housing Need	1
"Use Zoning, Ordinances, and Plan Review Process to Direct Development"	5
Develop Tribal Cultural Assets	7
Improve Opportunities for Aging in Place	1
Promote Appropriate Burning of the Prairie	2
Support Travel KS as the Online Cultural Hub for the Flint Hills	0
Improve Regional Transit	1
Add Scenic Bikeways to the By-ways Program	4
Improve Transportation Infrastructure	0
Create K-12 Curriculum about the Flint Hills Ecosystem	4
Expand the Succession Training Program	1
Explore Innovative Farm and Ranch Practices	2
Map Regional Assets	3
Improve Energy & Water Efficiency of Buildings	3
Market Flint Hills Farm & Ranch Products	2
Develop a Volunteer Hub	2
Develop a Leadership/Mentorship Program	1
Improve Rural Networking Capacity	3
Enable Youth to Start Farming and Ranching	0
Increase Healthy Food Access in Rural Areas	1
Leverage the Animal Health Corridor	0
Encourage Complete Streets and Mixed Use Development	1
Develop a Rideshare Program	0
Conduct a Trucking and Rail Logistics Study	2
Create a Faith-Based Hub	0
Create Flint Hills Energy Generation Policy	0
Use Planning to avoid Encroachment on Fort Riley	0
Celebrate Cultural Impact of Fort Riley	0
