name	value
Strenghthen Public Schools	3
Increase High Speed Internet Connectivity	3
Protect Water Quality and Avoid Runoff	1
Promote Agritourism	4
Revitalize Historic Downtowns	2
Boost Entrepreneurialism	1
Encourage Productive Conservation Programs	4
Develop National Recreation/Cultural Destinations	3
Control Invasive Species	1
Promote the Flint Hills Brand	0
Use Incentives to Finance (Re)Development	2
Conduct Comprehensive Planning	2
Connect Arts Organizations and Resources	2
Provide Efficient Services in Rural Areas	3
Improve Public Health and Wellbeing	1
Align Housing Stock with Housing Need	2
"Use Zoning, Ordinances, and Plan Review Process to Direct Development"	2
Develop Tribal Cultural Assets	0
Improve Opportunities for Aging in Place	1
Promote Appropriate Burning of the Prairie	1
Support Travel KS as the Online Cultural Hub for the Flint Hills	2
Improve Regional Transit	3
Add Scenic Bikeways to the By-ways Program	1
Improve Transportation Infrastructure	0
Create K-12 Curriculum about the Flint Hills Ecosystem	1
Expand the Succession Training Program	2
Explore Innovative Farm and Ranch Practices	2
Map Regional Assets	1
Improve Energy & Water Efficiency of Buildings	0
Market Flint Hills Farm & Ranch Products	1
Develop a Volunteer Hub	1
Develop a Leadership/Mentorship Program	0
Improve Rural Networking Capacity	0
Enable Youth to Start Farming and Ranching	1
Increase Healthy Food Access in Rural Areas	0
Leverage the Animal Health Corridor	0
Encourage Complete Streets and Mixed Use Development	1
Develop a Rideshare Program	0
Conduct a Trucking and Rail Logistics Study	0
Create a Faith-Based Hub	0
Create Flint Hills Energy Generation Policy	0
Use Planning to avoid Encroachment on Fort Riley	1
Celebrate Cultural Impact of Fort Riley	0
