name	value
Strenghthen Public Schools	7
Increase High Speed Internet Connectivity	8
Protect Water Quality and Avoid Runoff	6
Promote Agritourism	2
Revitalize Historic Downtowns	4
Boost Entrepreneurialism	2
Encourage Productive Conservation Programs	4
Develop National Recreation/Cultural Destinations	3
Control Invasive Species	3
Promote the Flint Hills Brand	4
Use Incentives to Finance (Re)Development	2
Conduct Comprehensive Planning	6
Connect Arts Organizations and Resources	2
Provide Efficient Services in Rural Areas	2
Improve Public Health and Wellbeing	3
Align Housing Stock with Housing Need	3
"Use Zoning, Ordinances, and Plan Review Process to Direct Development"	3
Develop Tribal Cultural Assets	0
Improve Opportunities for Aging in Place	1
Promote Appropriate Burning of the Prairie	2
Support Travel KS as the Online Cultural Hub for the Flint Hills	2
Improve Regional Transit	6
Add Scenic Bikeways to the By-ways Program	1
Improve Transportation Infrastructure	3
Create K-12 Curriculum about the Flint Hills Ecosystem	2
Expand the Succession Training Program	3
Explore Innovative Farm and Ranch Practices	2
Map Regional Assets	2
Improve Energy & Water Efficiency of Buildings	1
Market Flint Hills Farm & Ranch Products	2
Develop a Volunteer Hub	1
Develop a Leadership/Mentorship Program	1
Improve Rural Networking Capacity	0
Enable Youth to Start Farming and Ranching	0
Increase Healthy Food Access in Rural Areas	1
Leverage the Animal Health Corridor	3
Encourage Complete Streets and Mixed Use Development	1
Develop a Rideshare Program	0
Conduct a Trucking and Rail Logistics Study	0
Create a Faith-Based Hub	0
Create Flint Hills Energy Generation Policy	0
Use Planning to avoid Encroachment on Fort Riley	2
Celebrate Cultural Impact of Fort Riley	0
